Columna,Tipo,Elementos únicos,n_nulls,ejemplos,Anotaciones
GK Handling,int64,70,0,"0    11
1    11
2    92
Name: GK Handling, dtype: int64",OK
GK Kicking,int64,79,0,"0    15
1    15
2    78
Name: GK Kicking, dtype: int64",OK
GK Positioning,int64,76,0,"0    14
1    14
2    90
Name: GK Positioning, dtype: int64",OK
GK Reflexes,int64,70,0,"0     8
1    11
2    90
Name: GK Reflexes, dtype: int64",OK
Total Stats,int64,1420,0,"0    2231
1    2221
2    1413
Name: Total Stats, dtype: int64",OK
Base Stats,int64,250,0,"0    466
1    464
2    489
Name: Base Stats, dtype: int64",OK
W/F,object,5,0,"0    4 ★
1    4 ★
2    3 ★
Name: W/F, dtype: object",Convertir a Int
SM,object,5,0,"0    4★
1    5★
2    1★
Name: SM, dtype: object",Convertir a Int
A/W,object,3,0,"0    Medium
1      High
2    Medium
Name: A/W, dtype: object",OK
D/W,object,3,0,"0       Low
1       Low
2    Medium
Name: D/W, dtype: object",OK
IR,object,5,0,"0    5 ★
1    5 ★
2    3 ★
Name: IR, dtype: object",Convertir a Int
PAC,int64,70,0,"0    85
1    89
2    87
Name: PAC, dtype: int64",OK
SHO,int64,78,0,"0    92
1    93
2    92
Name: SHO, dtype: int64",OK
PAS,int64,68,0,"0    91
1    81
2    78
Name: PAS, dtype: int64",OK
DRI,int64,69,0,"0    95
1    89
2    90
Name: DRI, dtype: int64",OK
DEF,int64,78,0,"0    38
1    35
2    52
Name: DEF, dtype: int64",OK
PHY,int64,63,0,"0    65
1    77
2    90
Name: PHY, dtype: int64",OK
Hits,object,408,0,"0    \n372
1    \n344
2     \n86
Name: Hits, dtype: object",Convertir a Int
